,year,consumed_energie_GWh
0,2018.0,"11819,5"
1,2019.0,"11571,0"
2,2020.0,"11225,8"
3,2021.0,"11145,5"
4,2022.0,"10219,4"
5,2023.0,"9413,0"
6,2024.0,"9899,6"
