,year,generated_energie_GWh
0,2000.0,"2089,8"
1,2001.0,"1987,1"
2,2002.0,"1413,6"
3,2003.0,"1507,2"
4,2004.0,"1467,4"
5,2005.0,"1433,3"
6,2006.0,"1271,6"
7,2007.0,"1484,6"
8,2008.0,"1443,8"
9,2009.0,"1794,1"
10,2010.0,"2044,2"
11,2011.0,"2166,6"
12,2012.0,"1792,9"
13,2013.0,"1888,7"
14,2014.0,"1804,0"
15,2015.0,"7676,0"
16,2016.0,"9239,0"
17,2017.0,"10152,0"
18,2018.0,"9927,0"
19,2019.0,"8034,0"
20,2020.0,"3911,0"
21,2021.0,"1791,0"
22,2022.0,"1711,0"
23,2023.0,"1296,0"
24,2024.0,"1257,0"
