Bezirk;Stadtteile;absolut 2023;aufgeklärt 2023;absolut 2024;aufgeklärt 2024;veränderung prozent
Eimsbüttel;Eimsbüttel;3.932;1.411;4.159;1.363;5,8
Eimsbüttel;Rotherbaum;1.716;653;1.713;486;-0,2
Eimsbüttel;Harvestehude;1.362;390;1.438;357;5,6
Eimsbüttel;Hoheluft-West;695;214;719;210;3,5
Eimsbüttel;Lokstedt;1.710;516;1.532;468;-10,4
Eimsbüttel;Niendorf;2.772;1.231;2.619;1.161;-5,5
Eimsbüttel;Schnelsen;1.403;574;1.461;640;4,1
Eimsbüttel;Eidelstedt;2.650;1.139;2.631;1.048;-0,7
Eimsbüttel;Stellingen;2.352;906;2.262;835;-3,8
