Stadtteile,absolut_2023,aufgeklärt_2023,absolut_2024,aufgeklärt_2024
Altona-Altstadt,"4,144","2,009","4,039","1,945"
Sternschanze,"2,088","1,034","1,774",736
Altona-Nord,"4,226","2,276","4,417","2,518"
Ottensen,"2,696","1,057","2,994","1,298"
Bahrenfeld,"3,235","1,407","3,098","1,233"
Groß Flottbek,522,162,423,130
Othmarschen,"1,030",293,"1,093",237
Lurup,"2,114",915,"2,227","1,015"
Osdorf,"2,030",890,"1,857",912
