Stadtteile ,absolut_2023,aufgeklärt_2023,absolut_2024,aufgeklärt_2024
Eppendorf,"2,122",629,247,177
Groß Borstel,709,262,2,214
Alsterdorf,"1,221",582,47,655
Winterhude,"4,097","1,212",296,"1,233"
Uhlenhorst,"1,229",348,376,376
Hohenfelde,"1,546",685,44,554
Barmbek-Süd,"2,766",901,"2,621","1,011"
Dulsberg,"1,452",769,769,699
Barmbek-Nord,"3,839","1,630","1,630","1,583"
