Stadtteile ,absolut_2023,aufgeklärt_2023,absolut_2024,aufgeklärt_2024
Eimsbüttel,3.932,1.411,4.159,1.363
Rotherbaum,1.716,653,1.713,486
Harvestehude,1.362,390,1.438,357
Hoheluft-West,695,214,719,210
Lokostedt,1.710,516,1.532,468
Niendorf,2.772,1.231,2.619,1.161
Schnelsen,1.403,574,1.461,640
Eidelstedt,2.650,1.139,2.631,1.048
Stellingen,2.352,906,2.262,835
Bezirk Eimsbüttel,18.592,7.034,18.534,6.568
