Stadtteile,absolut_2023,aufgeklärt_2023,absolut_2024,aufgeklärt_2024
Nienstedten,71,303,82,82
Blankenese,224,703,214,214
Iserbrook,151,407,165,165
Sülldorf,244,403,162,162
Rissen,352,773,286,286
Bezirk Altona,11.085,24.511,10.933,10.933
